2023-10-31,Ler um livro
2023-11-01,Reunião de equipe
2023-11-02,Comprar mantimentos
2023-11-03,Aniversário de Maria
2023-11-04,Exercício no parque
2023-11-05,Reunião de trabalho
2023-11-06,Lançamento do projeto
2023-11-07,Consulta médica
2023-11-08,Leitura
2023-11-09,Visitar os pais
2023-11-10,Comprar presentes de Natal
2023-11-11,Almoço com amigos
2023-11-12,Assistir ao jogo de futebol
2023-11-13,Visitar o museu
2023-11-14,Revisar relatório
2023-11-15,Trabalhar em casa
2023-11-16,Café com clientes
2023-11-17,Assistir a uma palestra
2023-11-18,Fazer compras online
2023-11-19,Tirar o dia de folga
2023-11-20,Preparar um jantar especial
2023-11-21,Reunião de equipe
2023-11-22,Exercício no parque
2023-11-23,Entrevista de emprego
2023-11-24,Ler um livro
2023-11-25,Fazer uma caminhada
2023-11-26,Visitar o médico
2023-11-27,Organizar o armário
2023-11-28,Planejar viagem
2023-11-29,Estudar para o exame
2023-11-30,Comemorar aniversário
